,Phase,SetSize,FBand,Cluster,Participant,Power
485,id,1,gamma,Frontal,M22F2,1.4874979423720933
486,id,1,gamma,Frontal,M8M1,1.2760217912239353
487,id,1,gamma,Frontal,M8M2,1.0374324396574908
488,id,1,gamma,Frontal,S20M1,1.2799485770600048
489,id,1,gamma,Frontal,S21F1,1.3282157243904968
490,id,1,gamma,Frontal,T11F1,1.4017728371391194
491,id,1,gamma,Frontal,T16F2,1.136016410903175
492,id,1,gamma,Frontal,T18F2,1.4457681112083431
493,id,1,gamma,Frontal,T18M1,0.9862982595946442
494,id,1,gamma,Frontal,T23F1,2.7826747583837697
495,id,1,gamma,Frontal,T23F2,1.1986278789202636
496,id,1,gamma,Frontal,T25F1,1.253237362902484
497,id,1,gamma,Frontal,T9F2,1.6434070655730508
498,id,1,gamma,Frontal,W10F2,1.108979378873742
499,id,1,gamma,Frontal,W17M2,1.1019930379515028
500,id,1,gamma,Central,F12F2,2.092940265557875
501,id,1,gamma,Central,F12M1,0.9766386099390402
502,id,1,gamma,Central,F19M1,1.009478719738966
503,id,1,gamma,Central,F26F2,1.2161811980541
504,id,1,gamma,Central,F5M1,1.096765250802979
505,id,1,gamma,Central,M22F2,1.3491595207148546
506,id,1,gamma,Central,M8M1,1.0646971951877398
507,id,1,gamma,Central,M8M2,1.1820663377906497
508,id,1,gamma,Central,S20M1,1.2582919373926067
509,id,1,gamma,Central,S21F1,1.3065296526519017
