,Phase,SetSize,FBand,Cluster,Participant,Power
423,id,1,beta,Parietal,F26F2,1.290416013943275e-09
424,id,1,beta,Parietal,F5M1,5.754366439288494e-08
425,id,1,beta,Parietal,M22F2,7.55783975846997e-10
426,id,1,beta,Parietal,M8M1,4.71627551327406e-10
427,id,1,beta,Parietal,M8M2,1.6187751375960441e-09
428,id,1,beta,Parietal,S20M1,1.1502759548597823e-09
429,id,1,beta,Parietal,S21F1,8.319235902818979e-10
430,id,1,beta,Parietal,T11F1,1.5759708347094547e-09
431,id,1,beta,Parietal,T16F2,8.280325200793906e-10
432,id,1,beta,Parietal,T18F2,8.263503989420725e-10
433,id,1,beta,Parietal,T18M1,1.5651773110561382e-09
434,id,1,beta,Parietal,T23F1,9.35426800233283e-10
435,id,1,beta,Parietal,T23F2,1.3353760197332318e-09
436,id,1,beta,Parietal,T25F1,8.682166980879917e-10
437,id,1,beta,Parietal,T9F2,1.7490376283761994e-09
438,id,1,beta,Parietal,W10F2,1.6617213178810414e-09
439,id,1,beta,Parietal,W17M2,6.42182832437791e-10
440,id,1,beta,Occipital,F12F2,1.2772590724860117e-09
441,id,1,beta,Occipital,F12M1,6.369457623094747e-10
442,id,1,beta,Occipital,F19M1,4.4131449484934685e-10
443,id,1,beta,Occipital,F26F2,1.2191681277120627e-09
444,id,1,beta,Occipital,F5M1,5.433756830880432e-08
445,id,1,beta,Occipital,M22F2,7.545734803620437e-10
446,id,1,beta,Occipital,M8M1,4.898745964728868e-10
447,id,1,beta,Occipital,M8M2,1.4486976231974835e-09
448,id,1,beta,Occipital,S20M1,1.3686234503826037e-09
449,id,1,beta,Occipital,S21F1,6.750040514586785e-10
450,id,1,beta,Occipital,T11F1,1.9993190236583815e-09
451,id,1,beta,Occipital,T16F2,7.75502492940137e-10
452,id,1,beta,Occipital,T18F2,7.636121778931604e-10
453,id,1,beta,Occipital,T18M1,5.607612623141767e-10
454,id,1,beta,Occipital,T23F1,8.607656867839101e-10
455,id,1,beta,Occipital,T23F2,9.49542639150561e-10
456,id,1,beta,Occipital,T25F1,7.970731735556498e-10
457,id,1,beta,Occipital,T9F2,1.2122623091730995e-09
458,id,1,beta,Occipital,W10F2,1.7885399134378225e-09
459,id,1,beta,Occipital,W17M2,5.819201027491661e-10
460,id,1,beta,All,F12F2,1.636480709733646e-09
461,id,1,beta,All,F12M1,9.695916815945095e-10
